city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-08-02,PM2.5,267.314444444444,ug/m3,NA,00:00:00,2017-08-02 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-08-03,PM2.5,92.1776866666667,ug/m3,NA,00:00:00,2017-08-03 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-06,PM2.5,12.2125185185185,ug/m3,NA,00:00:00,2017-09-06 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_23,-1.298,36.791,sensor.Africa,2017-09-06,PM2.5,16.4538427947598,ug/m3,NA,00:00:00,2017-09-06 00:00:00,NA,2017-09-06,2017-10-08,2017-09-06 ~ 2017-10-08
Nairobi,station_23,-1.259,36.799,sensor.Africa,2017-09-06,PM2.5,18.45,ug/m3,NA,00:00:00,2017-09-06 00:00:00,NA,2017-09-06,2017-10-08,2017-09-06 ~ 2017-10-08
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-07,PM2.5,13.8975985663082,ug/m3,NA,00:00:00,2017-09-07 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-07,PM2.5,14.3804891304348,ug/m3,NA,00:00:00,2017-09-07 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-08,PM2.5,13.2142307692308,ug/m3,NA,00:00:00,2017-09-08 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
Nairobi,station_25,-1.298,36.791,sensor.Africa,2017-09-08,PM2.5,15.5360280373832,ug/m3,NA,00:00:00,2017-09-08 00:00:00,NA,2017-09-07,2018-03-23,2017-09-07 ~ 2018-03-23
Nairobi,station_3,-1.259,36.799,sensor.Africa,2017-09-09,PM2.5,8.89005244755245,ug/m3,NA,00:00:00,2017-09-09 00:00:00,NA,2017-08-02,2020-01-10,2017-08-02 ~ 2020-01-10
