city,station,lat,long,obs.period,date,pollutant,concentration,unit,datasource,station_area
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-20,PM10,34.487096774193546,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-21,PM10,33.397866666666665,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-22,PM10,38.59352750809062,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-23,PM10,48.140436241610736,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-24,PM10,44.60289608177172,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-25,PM10,42.16028571428571,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-26,PM10,41.471886120996444,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-27,PM10,36.52315573770492,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-28,PM10,36.91327433628319,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-29,PM10,39.931652661064426,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-30,PM10,42.61506024096386,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-01-31,PM10,28.82241813602015,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-02-01,PM10,29.542051282051283,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-02-02,PM10,29.368167701863353,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-02-03,PM10,28.433024118738405,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-02-04,PM10,28.71164383561644,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-02-05,PM10,30.100911854103344,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-02-06,PM10,31.084839650145774,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-02-07,PM10,23.055042016806723,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-04-07,PM10,16.583458646616542,ug/m3,OpenAQ,NA
Abidjan,UFHB,5.3494,-3.9772,2021-01-20 ~ 2021-04-13,2021-04-08,PM10,13.905923836389281,ug/m3,OpenAQ,NA
