city,station,lat,long,obs.period,date,pollutant,concentration,unit,datasource,station_area
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-20,PM10,46.635467980295566,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-21,PM10,50.88952536824877,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-22,PM10,61.03709198813056,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-23,PM10,73.91208459214502,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-24,PM10,77.9339155749636,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-25,PM10,82.91833810888252,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-26,PM10,79.81705607476636,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-27,PM10,66.66666666666667,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-28,PM10,61.21027397260274,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-29,PM10,59.862162162162164,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-30,PM10,53.7625,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-01-31,PM10,53.418381112984825,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-02-01,PM10,53.93566009104704,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-02-02,PM10,56.034298118668595,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-02-03,PM10,54.981348637015785,ug/m3,OpenAQ,NA
Accra,Atomic Junction,5.6431,-0.185,2021-01-20 ~ 2021-03-31,2021-02-04,PM10,51.600872093023256,ug/m3,OpenAQ,NA
