"station","city","datasource","pollutant","unit","date","lat","long","obs.period","concentration","station_area"
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-02,9.022,38.8247,"2021/02/02 - 2021/02/24",12.9743902439024,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-10,9.022,38.8247,"2021/02/02 - 2021/02/24",28.837084398977,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-11,9.022,38.8247,"2021/02/02 - 2021/02/24",38.7461148648649,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-12,9.022,38.8247,"2021/02/02 - 2021/02/24",45.6129496402878,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-13,9.022,38.8247,"2021/02/02 - 2021/02/24",47.0611710323575,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-14,9.022,38.8247,"2021/02/02 - 2021/02/24",33.8314873417722,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-15,9.022,38.8247,"2021/02/02 - 2021/02/24",28.2831920903955,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-16,9.022,38.8247,"2021/02/02 - 2021/02/24",31.1913963328632,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-17,9.022,38.8247,"2021/02/02 - 2021/02/24",27.8757207890744,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-18,9.022,38.8247,"2021/02/02 - 2021/02/24",20.7711267605634,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-19,9.022,38.8247,"2021/02/02 - 2021/02/24",23.018085106383,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-20,9.022,38.8247,"2021/02/02 - 2021/02/24",42.8303571428571,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-21,9.022,38.8247,"2021/02/02 - 2021/02/24",29.3781626506024,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-22,9.022,38.8247,"2021/02/02 - 2021/02/24",27.4412356321839,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-23,9.022,38.8247,"2021/02/02 - 2021/02/24",40.7259574468085,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM10","ug/m3",2021-02-24,9.022,38.8247,"2021/02/02 - 2021/02/24",30.9263671875,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-02,9.022,38.8247,"2021/02/02 - 2021/02/24",11.4081300813008,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-10,9.022,38.8247,"2021/02/02 - 2021/02/24",25.572378516624,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-11,9.022,38.8247,"2021/02/02 - 2021/02/24",32.6489864864865,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-12,9.022,38.8247,"2021/02/02 - 2021/02/24",37.8230215827338,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-13,9.022,38.8247,"2021/02/02 - 2021/02/24",39.7787365177196,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-14,9.022,38.8247,"2021/02/02 - 2021/02/24",29.6018987341772,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-15,9.022,38.8247,"2021/02/02 - 2021/02/24",24.820197740113,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-16,9.022,38.8247,"2021/02/02 - 2021/02/24",27.441466854725,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-17,9.022,38.8247,"2021/02/02 - 2021/02/24",24.3825493171472,NA
"AAEPGDC ","Addis Ababa","OpenAQ","PM2.5","ug/m3",2021-02-18,9.022,38.8247,"2021/02/02 - 2021/02/24",18.2646478873239,NA
