"station","city","datasource","pollutant","unit","date","lat","long","station_area","concentration","obs.period"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-01",-33.955861,18.513111,"Urban",4.49429411764706,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-02",-33.955861,18.513111,"Urban",5.74629166666667,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-03",-33.955861,18.513111,"Urban",5.96904166666667,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-04",-33.955861,18.513111,"Urban",6.26513333333333,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-06",-33.955861,18.513111,"Urban",1.39157142857143,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-07",-33.955861,18.513111,"Urban",1.82511111111111,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-08",-33.955861,18.513111,"Urban",3.07345454545455,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-10",-33.955861,18.513111,"Urban",1.13008333333333,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-11",-33.955861,18.513111,"Urban",0.800380952380952,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-12",-33.955861,18.513111,"Urban",7.3539,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-13",-33.955861,18.513111,"Urban",7.7934,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-14",-33.955861,18.513111,"Urban",2.77452631578947,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-15",-33.955861,18.513111,"Urban",8.283,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-16",-33.955861,18.513111,"Urban",4.11917391304348,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-17",-33.955861,18.513111,"Urban",4.34541666666667,"2015-05-01 ~ 2018-11-23"
"Athlone","Cape Town","SAAQIS","SO2","ppb","2015-05-18",-33.955861,18.513111,"Urban",6.14184615384615,"2015-05-01 ~ 2018-11-23"
