city,station,lat,long,datasource,date,pollutant,concentration,unit,station_area,time,date.time,year,min_date,max_date,obs.period
Dar es Salaam,station_4,-6.797,39.255,sensor.Africa,2017-10-08,PM2.5,10.1,ug/m3,NA,00:00:00,2017-10-08 00:00:00,2017,2017-10-08,2017-10-08,2017-10-08 ~ 2017-10-08
Dar es Salaam,station_23,-6.908,39.194,sensor.Africa,2017-10-08,PM2.5,14.1441666666667,ug/m3,NA,00:00:00,2017-10-08 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_31,-6.797,39.255,sensor.Africa,2017-10-08,PM2.5,9.31,ug/m3,NA,00:00:00,2017-10-08 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-08,PM2.5,15.4417647058824,ug/m3,NA,00:00:00,2017-10-08 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.908,39.194,sensor.Africa,2017-10-11,PM2.5,1.9825,ug/m3,NA,00:00:00,2017-10-11 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-11,PM2.5,2.75534090909091,ug/m3,NA,00:00:00,2017-10-11 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-11,PM2.5,2.76523529411765,ug/m3,NA,00:00:00,2017-10-11 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-11,PM2.5,2.75779069767442,ug/m3,NA,00:00:00,2017-10-11 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_31,-6.797,39.255,sensor.Africa,2017-10-11,PM2.5,2.3,ug/m3,NA,00:00:00,2017-10-11 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-11,PM2.5,2.21067605633803,ug/m3,NA,00:00:00,2017-10-11 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-12,PM2.5,7.49341592920354,ug/m3,NA,00:00:00,2017-10-12 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-12,PM2.5,6.16389084507042,ug/m3,NA,00:00:00,2017-10-12 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-12,PM2.5,6.55094138543517,ug/m3,NA,00:00:00,2017-10-12 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-12,PM2.5,5.89073608617594,ug/m3,NA,00:00:00,2017-10-12 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
Dar es Salaam,station_23,-6.818,39.285,sensor.Africa,2017-10-13,PM2.5,5.16201388888889,ug/m3,NA,00:00:00,2017-10-13 00:00:00,2017,2017-10-08,2018-07-23,2017-10-08 ~ 2018-07-23
Dar es Salaam,station_29,-6.818,39.285,sensor.Africa,2017-10-13,PM2.5,3.90793402777778,ug/m3,NA,00:00:00,2017-10-13 00:00:00,2017,2017-10-11,2019-04-30,2017-10-11 ~ 2019-04-30
Dar es Salaam,station_31,-6.818,39.285,sensor.Africa,2017-10-13,PM2.5,4.17345486111111,ug/m3,NA,00:00:00,2017-10-13 00:00:00,2017,2017-10-08,2019-04-08,2017-10-08 ~ 2019-04-08
Dar es Salaam,station_33,-6.818,39.285,sensor.Africa,2017-10-13,PM2.5,3.65808362369338,ug/m3,NA,00:00:00,2017-10-13 00:00:00,2017,2017-10-08,2018-10-17,2017-10-08 ~ 2018-10-17
