"station","city","datasource","pollutant","unit","date","lat","long","obs.period","concentration","station_area"
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-19",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",69.9903225806452,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-20",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",71.0030478955007,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-21",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",106.607547169811,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-22",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",170.933532041729,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-23",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",147.150374812594,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-24",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",152.755152394775,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-25",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",119.866809116809,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-26",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",88.9827882960413,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-27",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",75.406432748538,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-28",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",69.648079658606,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-29",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",67.1554131054131,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-30",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",68.5806569343066,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-01-31",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",63.2840836012862,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-02",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",68.1454545454545,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-03",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",64.2294871794872,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-04",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",63.9801136363636,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-05",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",60.931784107946,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-06",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",58.4268847795164,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-07",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",54.652849002849,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-08",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",55.1620542082739,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-09",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",52.5958333333333,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-10",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",51.2293447293447,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-11",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",52.5066761363636,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-12",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",52.4335227272727,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-13",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",53.4007052186178,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-14",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",46.8534458509142,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-15",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",47.2572433192686,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-16",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",53.2358059914408,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-17",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",61.0050632911392,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-18",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",84.1269230769231,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-19",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",141.587375886525,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-20",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",154.332633053221,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-21",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",148.579805013928,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-22",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",89.984441301273,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-23",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",78.2992447129909,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-24",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",69.0899433427762,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-25",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",68.8746121297602,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-26",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",64.5702816901408,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-27",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",67.8894586894587,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-02-28",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",59.7100286532951,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-03-01",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",50.9749646393211,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-03-02",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",54.7031383737518,NA
"LASEPA","Lagos","OpenAQ","PM10","ug/m3","2021-03-03",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",54.3705965909091,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-19",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",57.2258064516129,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-20",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",59.4355587808418,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-21",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",87.5381712626996,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-22",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",134.419374068554,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-23",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",109.816341829085,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-24",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",106.263570391872,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-25",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",87.4836182336182,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-26",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",63.3153184165232,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-27",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",54.1025341130604,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-28",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",51.5623044096728,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-29",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",50.7217948717949,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-30",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",52.7262773722628,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-01-31",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",48.5757234726688,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-02",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",52.7493506493506,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-03",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",48.5045584045584,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-04",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",47.6907670454545,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-05",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",46.1008995502249,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-06",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",44.7465149359886,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-07",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",41.3323361823362,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-08",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",41.2651925820257,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-09",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",39.8485119047619,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-10",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",38.3582621082621,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-11",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",38.9225852272727,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-12",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",39.1289772727273,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-13",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",39.9201692524683,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-14",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",35.6635724331927,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-15",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",36.5645569620253,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-16",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",40.9522111269615,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-17",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",47.5196905766526,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-18",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",63.3933048433048,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-19",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",101.032482269504,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-20",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",109.121568627451,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-21",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",110.113927576602,NA
"LASEPA","Lagos","OpenAQ","PM2.5","ug/m3","2021-02-22",6.6129,3.3606,"2021-01-19 ~ 2021-03-03",67.3878359264498,NA
