"pollutant","lat","long","date","station","city","datasource","station_area","obs.period","unit","concentration"
"PM10",-34.0908,18.8518,"2021-01-20","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",2.55912347919607
"PM10",-34.0908,18.8518,"2021-01-21","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",4.24344116682239
"PM10",-34.0908,18.8518,"2021-01-22","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",8.64806254941313
"PM10",-34.0908,18.8518,"2021-01-23","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",9.43567478508959
"PM10",-34.0908,18.8518,"2021-01-24","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",3.41039696148892
"PM10",-34.0908,18.8518,"2021-01-25","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",2.48443341460583
"PM10",-34.0908,18.8518,"2021-01-26","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",5.65502951143039
"PM10",-34.0908,18.8518,"2021-01-27","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",2.40567137861763
"PM10",-34.0908,18.8518,"2021-01-28","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",3.24484881657296
"PM10",-34.0908,18.8518,"2021-01-29","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",2.66407015143222
"PM10",-34.0908,18.8518,"2021-01-30","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",3.87072021918765
"PM10",-34.0908,18.8518,"2021-01-31","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",3.56811986863711
"PM10",-34.0908,18.8518,"2021-02-01","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",0.986607909969979
"PM10",-34.0908,18.8518,"2021-02-02","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",1.66606997727687
"PM10",-34.0908,18.8518,"2021-02-03","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",3.08042659766798
"PM10",-34.0908,18.8518,"2021-02-04","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",1.98888279345176
"PM10",-34.0908,18.8518,"2021-02-05","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",7.15980106100796
"PM10",-34.0908,18.8518,"2021-02-06","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",3.8249680715198
"PM10",-34.0908,18.8518,"2021-02-07","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",2.68479039160074
"PM10",-34.0908,18.8518,"2021-02-08","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",2.59526596930812
"PM10",-34.0908,18.8518,"2021-02-09","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",3.36624266474267
"PM10",-34.0908,18.8518,"2021-02-10","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",3.87132970516969
"PM10",-34.0908,18.8518,"2021-02-11","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",4.44921515311373
"PM10",-34.0908,18.8518,"2021-02-12","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",7.49367596324493
"PM10",-34.0908,18.8518,"2021-02-13","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",6.21553107705406
"PM10",-34.0908,18.8518,"2021-02-14","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",4.40745257509625
"PM10",-34.0908,18.8518,"2021-02-15","Somerset West-PA","Cape Town","PurpleAir",NA,"2021-01-19 ~ 2021-03-31","ug/m3",1.22164081980174
