"pollutant","long","lat","date","station","city","datasource","station_area","obs.period","unit","concentration"
"PM10",30.92242,-29.84836,"2017-07-31","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",33.8299136281104
"PM10",30.92242,-29.84836,"2017-08-10","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",24.8831344120693
"PM10",30.92242,-29.84836,"2017-08-11","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",27.927430089911
"PM10",30.92242,-29.84836,"2017-08-12","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",18.885502533046
"PM10",30.92242,-29.84836,"2017-08-13","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",18.3555267795728
"PM10",30.92242,-29.84836,"2017-08-14","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",33.0708691586387
"PM10",30.92242,-29.84836,"2017-08-15","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",16.8635377921305
"PM10",30.92242,-29.84836,"2017-08-16","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",41.2870473828721
"PM10",30.92242,-29.84836,"2017-08-17","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",38.8953741209805
"PM10",30.92242,-29.84836,"2017-08-18","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",22.2118551878333
"PM10",30.92242,-29.84836,"2017-08-19","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",11.8783111944729
"PM10",30.92242,-29.84836,"2017-08-20","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",6.11535821006948
"PM10",30.92242,-29.84836,"2017-08-21","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",5.23873169789598
"PM10",30.92242,-29.84836,"2017-08-22","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",7.15449741347872
"PM10",30.92242,-29.84836,"2017-08-23","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",5.48608475109542
"PM10",30.92242,-29.84836,"2017-08-24","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",3.41993263907418
"PM10",30.92242,-29.84836,"2017-08-25","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",10.7669832174182
"PM10",30.92242,-29.84836,"2017-08-26","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",36.7874479166667
"PM10",30.92242,-29.84836,"2017-08-28","Sensor.Africa","eThekwini (Durban)","Sensor.Africa",NA,"2017-07-31 ~ 2018-05-08","ug/m3",24.4280722361848
