city,pollutant,label,standard
WHO,PM2.5,WHO Annual PM<sub>2.5</sub><br> Guideline: 10 ug/m<sup>3</sup>,10
WHO,SO2,WHO Annual SO<sub>2</sub> <br>Guideline: 7.6 ppb (20 ug/m<sup>3</sup>),7.6
WHO,Ozone,WHO 8 hour O<sub>3</sub> <br>Guidline: 46.7 ppb (100 ug/m<sup>3</sup>),46.7
WHO,NO2,WHO Annual NO<sub>2</sub> <br>Guidline: 15.3 ppb (40 ug/m<sup>3</sup>),15.3
WHO,SO2,WHO Annual SO<sub>2</sub> <br>Guideline: 20 ug/m<sup>3</sup>,20
WHO,Ozone,WHO 8 hour O<sub>3</sub> <br>Guidline: 100 ug/m<sup>3</sup>,100
WHO,NO2,WHO Annual NO<sub>2</sub> <br>Guidline: 40 ug/m<sup>3</sup>,40
WHO,PM10,WHO Annual PM<sub>10</sub> <br>Guidline: 20 ug/m<sup>3</sup>,20
Johannesburg,PM2.5,SA Annual PM<sub>2.5</sub> <br>Standard: 20 ug/m<sup>3</sup>,20
Johannesburg,SO2,SA Annual SO<sub>2</sub> <br>Standard: 19 ppb (50 ug/m<sup>3</sup>),19
Johannesburg,Ozone,SA 8 hour O<sub>3</sub> <br>Standard: 61 ppb (120 ug/m<sup>3</sup>),61
Johannesburg,NO2,SA Annual NO<sub>2</sub> <br>Standard: 21 ppb (40 ug/m<sup>3</sup>),21
Johannesburg,PM10,SA Annual PM<sub>10</sub> <br>Standard: 40 ug/m<sup>3</sup>,40
Cape Town,PM2.5,SA Annual PM<sub>2.5</sub> <br>Standard: 20 ug/m<sup>3</sup>,20
Cape Town,SO2,SA Annual SO<sub>2</sub> <br>Standard: 19 ppb (50 ug/m<sup>3</sup>),19
Cape Town,Ozone,SA 8 hour O<sub>3</sub> <br>Standard: 61 ppb (120 ug/m<sup>3</sup>),61
Cape Town,NO2,SA Annual NO<sub>2</sub> <br>Standard: 21 ppb (40 ug/m<sup>3</sup>),21
Cape Town,PM10,SA Annual PM<sub>10</sub> <br>Standard: 40 ug/m<sup>3</sup>,40
eThekwini (Durban),PM2.5,SA Annual PM<sub>2.5</sub> <br>Standard: 20 ug/m<sup>3</sup>,20
eThekwini (Durban),SO2,SA Annual SO<sub>2</sub> <br>Standard: 19 ppb (50 ug/m<sup>3</sup>),19
eThekwini (Durban),Ozone,SA 8 hour O<sub>3</sub> <br>Standard: 61 ppb (120 ug/m<sup>3</sup>),61
eThekwini (Durban),NO2,SA Annual NO<sub>2</sub> <br>Standard: 21 ppb (40 ug/m<sup>3</sup>),21
eThekwini (Durban),PM10,SA Annual PM<sub>10</sub> <br>Standard: 40 ug/m<sup>3</sup>,40
Tshwane,PM2.5,SA Annual PM<sub>2.5</sub> <br>Standard: 20 ug/m<sup>3</sup>,20
Tshwane,SO2,SA Annual SO<sub>2</sub> <br>Standard: 19 ppb (50 ug/m<sup>3</sup>),19
Tshwane,Ozone,SA 8 hour O<sub>3</sub> <br>Standard: 61 ppb (120 ug/m<sup>3</sup>),61
Tshwane,NO2,SA Annual NO<sub>2</sub> <br>Standard: 21 ppb (40 ug/m<sup>3</sup>),21
Tshwane,PM10,SA Annual PM<sub>10</sub> <br>Standard: 40 ug/m<sup>3</sup>,40
Ekurhuleni,PM2.5,SA Annual PM<sub>2.5</sub> <br>Standard: 20 ug/m<sup>3</sup>,20
Ekurhuleni,SO2,SA Annual SO<sub>2</sub> <br>Standard: 19 ppb (50 ug/m<sup>3</sup>),19
Ekurhuleni,Ozone,SA 8 hour O<sub>3</sub> <br>Standard: 61 ppb (120 ug/m<sup>3</sup>),61
Ekurhuleni,NO2,SA Annual NO<sub>2</sub> <br>Standard: 21 ppb (40 ug/m<sup>3</sup>),21
